# ----------------------------------------
# Aerlingus.com All Website Traffic (excluding internal EI traffic) UA
# New Custom Report
# 20180212-20180212
# ----------------------------------------

Transaction ID,Booked Origin Airport,Booked Destination Airport,trans_Date,Quantity
27GRIF|46361418a8dc7e2adcf4eebed55167707a170a21,AGP,DUB,2018-02-12T00:08:12.792Z,2
27GRIF|46361418a8dc7e2adcf4eebed55167707a170a21,DUB,AGP,2018-02-12T00:08:12.792Z,2
27GRJJ|ca4218d28f6dd4d242a18e5f7e06c978debf406d,CDG,DUB,2018-02-12T00:12:24.734Z,2
27GRUN|17b3af22de720e705e299bba198651b32f3a270a,DUB,YYZ,2018-02-12T00:16:46.115Z,2
27GRUN|17b3af22de720e705e299bba198651b32f3a270a,YYZ,GLA,2018-02-12T00:16:46.115Z,2
27GUFN|3c8bd9f4ddb23fed48b0e02ac99efba60e450169,DUB,YYZ,2018-02-12T02:25:48.363Z,2
27GUFN|3c8bd9f4ddb23fed48b0e02ac99efba60e450169,YYZ,DUB,2018-02-12T02:25:48.363Z,2
27GV8N|2f6437fe7a9941036a0f2cc7990c8ac4f1826269,TXL,YYZ,2018-02-12T03:10:22.042Z,2
27GV8N|2f6437fe7a9941036a0f2cc7990c8ac4f1826269,YYZ,TXL,2018-02-12T03:10:22.042Z,2
27GV8W|299393b0462880d98f8b0ecb4be27ef8a305ebe4,DUB,IAD,2018-02-12T03:11:17.723Z,2
27GV8W|299393b0462880d98f8b0ecb4be27ef8a305ebe4,IAD,DUB,2018-02-12T03:11:17.723Z,2
27GVBW|d89f942be8cd01e9466a9d5b334c4d33dd19ef0b,BDL,MAD,2018-02-12T03:19:45.644Z,2
27GVBW|d89f942be8cd01e9466a9d5b334c4d33dd19ef0b,MAD,BDL,2018-02-12T03:19:45.644Z,2
27GVDB|e5dd1c224c0ad6c8c6446db637cc5d2eee80669b,ORD,FCO,2018-02-12T03:30:54.493Z,2
27H58F|801a57e307bc6bcd967afe776bbd8285e535b4be,DUB,VIE,2018-02-12T09:18:07.344Z,2
27H58F|801a57e307bc6bcd967afe776bbd8285e535b4be,VIE,DUB,2018-02-12T09:18:07.344Z,2
27MSES|bdc1af9e7f90a703449a640e3c34bc0b11b8424f,AMS,DUB,2018-02-12T00:18:57.705Z,2
27MSES|bdc1af9e7f90a703449a640e3c34bc0b11b8424f,DUB,AMS,2018-02-12T00:18:57.705Z,2
27MSV2|3528becf5765f83d7fe83b089a28f346b41659b9,AUS,SNN,2018-02-12T00:29:40.666Z,2
27MSV2|3528becf5765f83d7fe83b089a28f346b41659b9,SNN,LAS,2018-02-12T00:29:40.666Z,2
27MT62|6c1fa20e47052750dbec34f43d93437c722ef082,LHR,ORD,2018-02-12T00:34:51.523Z,2
27MT62|6c1fa20e47052750dbec34f43d93437c722ef082,ORD,DUB,2018-02-12T00:34:51.523Z,2
27MTKB|239b2c34212e508f6bfd139f9c875ffbbef3e45a,BHX,DUB,2018-02-12T01:00:33.604Z,2
27MTKB|239b2c34212e508f6bfd139f9c875ffbbef3e45a,DUB,BHX,2018-02-12T01:00:33.604Z,2
27MTXS|252a645263ef5d5e28af8807e9afc11cb19d3f33,EDI,DUB,2018-02-12T01:23:21.165Z,2
27MTYW|2a47a556c77efd92e9f10926ce96c83ad021d126,ORK,BCN,2018-02-12T01:25:51.375Z,2
27MU4W|539e1ae3160a58f211d1f7890421fabce06b2caf,BRS,DUB,2018-02-12T01:31:46.444Z,2
27MUGN|36a460ef7c6b47c3fdd9dfbb80372b59fb3e5734,DUB,PHL,2018-02-12T01:55:44.139Z,2
27MUGN|36a460ef7c6b47c3fdd9dfbb80372b59fb3e5734,JFK,SNN,2018-02-12T01:55:44.139Z,2
27MUH2|44df7e42a08793531418ab98697b1a659ed16d43,DUB,ORD,2018-02-12T01:58:41.948Z,2
27MUH2|44df7e42a08793531418ab98697b1a659ed16d43,ORD,DUB,2018-02-12T01:58:41.948Z,2
27MUHW|af85253d4af53128572dd26882bfb99e8183d4c8,BDL,DUB,2018-02-12T02:04:04.531Z,2
27MUHW|af85253d4af53128572dd26882bfb99e8183d4c8,DUB,BDL,2018-02-12T02:04:04.531Z,2
27MV3J|c8b980d3ebaaac37c661d610630b29d699097175,BDL,DUB,2018-02-12T02:42:43.783Z,2
27MV3J|c8b980d3ebaaac37c661d610630b29d699097175,DUB,BDL,2018-02-12T02:42:43.783Z,2
27MVIB|dfea7f701db2220cfabb782177aa33eb3e613038,DUB,SFO,2018-02-12T03:09:17.734Z,2
27MVIB|dfea7f701db2220cfabb782177aa33eb3e613038,SFO,DUB,2018-02-12T03:09:17.734Z,2
27N6TS|caecfa85703fbab6ca9d2ed942656f2e1ccb7418,EDI,ORK,2018-02-12T09:31:51.628Z,2
27N6V2|946bdb2503cedce47a3e2c0441240cb8e9904139,DUB,STR,2018-02-12T09:32:54.548Z,2
27N6V2|946bdb2503cedce47a3e2c0441240cb8e9904139,STR,DUB,2018-02-12T09:32:54.548Z,2
